#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP032808.1",379,2268,"+",,"mnmG","D8Z68_RS00005","WP_000499793.1",629,"tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG"
"chromosome","NZ_CP032808.1",2332,2955,"+",,"rsmG","D8Z68_RS00010","WP_000932839.1",207,"MULTISPECIES: 16S rRNA (guanine(527)-N(7))-methyltransferase RsmG"
"chromosome","NZ_CP032808.1",3572,3952,"+",,"atpI","D8Z68_RS00015","WP_000116695.1",126,"MULTISPECIES: F0F1 ATP synthase subunit I"
"chromosome","NZ_CP032808.1",3961,4776,"+",,"atpB","D8Z68_RS00020","WP_000135625.1",271,"MULTISPECIES: F0F1 ATP synthase subunit A"
"chromosome","NZ_CP032808.1",4823,5062,"+",,"atpE","D8Z68_RS00025","WP_000429386.1",79,"MULTISPECIES: F0F1 ATP synthase subunit C"
"chromosome","NZ_CP032808.1",5124,5594,"+",,"atpF","D8Z68_RS00030","WP_001052219.1",156,"MULTISPECIES: F0F1 ATP synthase subunit B"
"chromosome","NZ_CP032808.1",5609,6142,"+",,"atpH","D8Z68_RS00035","WP_001288587.1",177,"MULTISPECIES: F0F1 ATP synthase subunit delta"
"chromosome","NZ_CP032808.1",6155,7696,"+",,"atpA","D8Z68_RS00040","WP_001176745.1",513,"MULTISPECIES: F0F1 ATP synthase subunit alpha"
"chromosome","NZ_CP032808.1",7747,8610,"+",,"atpG","D8Z68_RS00045","WP_000896498.1",287,"MULTISPECIES: F0F1 ATP synthase subunit gamma"
"chromosome","NZ_CP032808.1",8637,10019,"+",,"atpD","D8Z68_RS00050","WP_000190506.1",460,"MULTISPECIES: F0F1 ATP synthase subunit beta"
"chromosome","NZ_CP032808.1",10040,10459,"+",,"atpC","D8Z68_RS00055","WP_001251965.1",139,"MULTISPECIES: F0F1 ATP synthase subunit epsilon"
"chromosome","NZ_CP032808.1",10811,12181,"+",,"glmU","D8Z68_RS00060","WP_000933736.1",456,"MULTISPECIES: bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU"
"chromosome","NZ_CP032808.1",12343,14172,"+",,"glmS","D8Z68_RS00065","WP_000334100.1",609,"glutamine--fructose-6-phosphate transaminase (isomerizing)"
"chromosome","NZ_CP032808.1",14872,15474,"+",,"lpfA2","D8Z68_RS00070","WP_000804045.1",200,"MULTISPECIES: long polar fimbria major subunit LpfA2"
"chromosome","NZ_CP032808.1",16101,16262,"+",,,"D8Z68_RS00080","WP_001310364.1",53,"fimbrial chaperone"
"chromosome","NZ_CP032808.1",16284,18818,"+",,,"D8Z68_RS00085","WP_000168513.1",844,"fimbrial biogenesis outer membrane usher protein"
"chromosome","NZ_CP032808.1",18830,19900,"+",,,"D8Z68_RS00090","WP_000722803.1",356,"fimbrial protein"
"chromosome","NZ_CP032808.1",19928,21010,"+",,,"D8Z68_RS00095","WP_001301944.1",360,"fimbrial protein"
"chromosome","NZ_CP032808.1",21222,22262,"+",,"pstS","D8Z68_RS00100","WP_000867143.1",346,"MULTISPECIES: phosphate ABC transporter substrate-binding protein PstS"
"chromosome","NZ_CP032808.1",22349,23308,"+",,"pstC","D8Z68_RS00105","WP_000741620.1",319,"MULTISPECIES: phosphate ABC transporter permease PstC"
"chromosome","NZ_CP032808.1",23308,24198,"+",,"pstA","D8Z68_RS00110","WP_001251991.1",296,"MULTISPECIES: phosphate ABC transporter permease PstA"
"chromosome","NZ_CP032808.1",24381,25154,"+",,"pstB","D8Z68_RS00115","WP_000063125.1",257,"MULTISPECIES: phosphate ABC transporter ATP-binding protein PstB"
"chromosome","NZ_CP032808.1",25169,25894,"+",,"phoU","D8Z68_RS00120","WP_000377785.1",241,"MULTISPECIES: phosphate signaling complex protein PhoU"
"chromosome","NZ_CP032808.1",25851,26030,"+",,,"D8Z68_RS00125","WP_001303733.1",59,"hypothetical protein"
"chromosome","NZ_CP032808.1",26132,26338,"+",,,"D8Z68_RS00130","WP_000412703.1",68,"hypothetical protein"
"chromosome","NZ_CP032808.1",26319,26453,"+",,,"D8Z68_RS00135","WP_001304020.1",44,"hypothetical protein"
"chromosome","NZ_CP032808.1",26420,28804,"+",,,"D8Z68_RS00140","WP_001310363.1",794,"hypothetical protein"
"chromosome","NZ_CP032808.1",28995,29174,"+",,,"D8Z68_RS00145","WP_001301478.1",59,"hypothetical protein"
"chromosome","NZ_CP032808.1",29789,30460,"-",,,"D8Z68_RS00150","WP_000369315.1",223,"hypothetical protein"
"chromosome","NZ_CP032808.1",30761,33169,"+",,"espY4","D8Z68_RS00155","WP_000225947.1",802,"T3SS effector EspY4"
"chromosome","NZ_CP032808.1",33306,33971,"-",,"yieH","D8Z68_RS00160","WP_000078064.1",221,"6-phosphogluconate phosphatase"
"chromosome","NZ_CP032808.1",34137,35474,"+",,,"D8Z68_RS00165","WP_001301685.1",445,"adenine permease AdeP"
"chromosome","NZ_CP032808.1",35528,36094,"-",,"yieF","D8Z68_RS00170","WP_001291268.1",188,"MULTISPECIES: class I chromate reductase YieF"
"chromosome","NZ_CP032808.1",36116,36865,"-",,,"D8Z68_RS00175","WP_001302247.1",249,"hypothetical protein"
"chromosome","NZ_CP032808.1",37022,37981,"-",,"yidZ","D8Z68_RS00180","WP_000748496.1",319,"HTH-type transcriptional regulator YidZ"
"chromosome","NZ_CP032808.1",37956,39131,"-",,"mdtL","D8Z68_RS00185","WP_000086017.1",391,"multidrug efflux MFS transporter MdtL"
"chromosome","NZ_CP032808.1",39263,40510,"-",,"tnaB","D8Z68_RS00190","WP_000131901.1",415,"low affinity tryptophan permease TnaB"
"chromosome","NZ_CP032808.1",40601,42016,"-",,"tnaA","D8Z68_RS00195","WP_001302010.1",471,"tryptophanase"
"chromosome","NZ_CP032808.1",42237,42311,"-",,"tnaC","D8Z68_RS00200","WP_001364348.1",24,"MULTISPECIES: tryptophanase leader peptide"
"chromosome","NZ_CP032808.1",45030,46394,"-",,"mnmE","D8Z68_RS00210","WP_001282345.1",454,"tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE"
"chromosome","NZ_CP032808.1",46500,48146,"-",,"yidC","D8Z68_RS00215","WP_000378258.1",548,"MULTISPECIES: membrane protein insertase YidC"
"chromosome","NZ_CP032808.1",48149,48406,"-",,"yidD","D8Z68_RS00220","WP_001303730.1",85,"membrane protein insertion efficiency factor YidD"
"chromosome","NZ_CP032808.1",48370,48729,"-",,"rnpA","D8Z68_RS00225","WP_000239733.1",119,"ribonuclease P protein component"
"chromosome","NZ_CP032808.1",48746,48886,"-",,"rpmH","D8Z68_RS00230","WP_000831330.1",46,"MULTISPECIES: 50S ribosomal protein L34"
"chromosome","NZ_CP032808.1",49116,49196,"-",,,"D8Z68_RS00235","WP_120795392.1",26,"MULTISPECIES: protein YsdD"
"chromosome","NZ_CP032808.1",49493,50896,"+",,"dnaA","D8Z68_RS00240","WP_000059116.1",467,"chromosomal replication initiator protein DnaA"
"chromosome","NZ_CP032808.1",50901,52001,"+",,"dnaN","D8Z68_RS00245","WP_000673464.1",366,"MULTISPECIES: DNA polymerase III subunit beta"
"chromosome","NZ_CP032808.1",52001,53074,"+",,"recF","D8Z68_RS00250","WP_000060112.1",357,"MULTISPECIES: DNA replication/repair protein RecF"
"chromosome","NZ_CP032808.1",53103,55517,"+",,"gyrB","D8Z68_RS00255","WP_000072067.1",804,"MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome","NZ_CP032808.1",55748,56155,"+",,,"D8Z68_RS00260","WP_010904953.1",135,"YidB family protein"
"chromosome","NZ_CP032808.1",56270,57082,"+",,,"D8Z68_RS00265","WP_000985542.1",270,"sugar-phosphatase"
"chromosome","NZ_CP032808.1",57128,57784,"-",,,"D8Z68_RS00270","WP_000772953.1",218,"hypothetical protein"
"chromosome","NZ_CP032808.1",58030,59094,"-",,"cbrA","D8Z68_RS00275","WP_001302380.1",354,"colicin M resistance protein"
"chromosome","NZ_CP032808.1",59162,60409,"+",,,"D8Z68_RS00280","WP_001302515.1",415,"DUF3748 domain-containing protein"
"chromosome","NZ_CP032808.1",60411,60743,"-",,,"D8Z68_RS00285","WP_001313407.1",110,"MULTISPECIES: YceK/YidQ family lipoprotein"
"chromosome","NZ_CP032808.1",61049,61462,"+",,"ibpA","D8Z68_RS00290","WP_001243437.1",137,"MULTISPECIES: heat shock chaperone IbpA"
"chromosome","NZ_CP032808.1",61574,62002,"+",,"ibpB","D8Z68_RS00295","WP_001243431.1",142,"MULTISPECIES: heat shock chaperone IbpB"
