#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
chromosome,NZ_CP027577.1,889,5349,+,,gltB,C6997_RS00020,WP_001388534.1,1486,MULTISPECIES: glutamate synthase large subunit
chromosome,NZ_CP027577.1,5362,6780,+,,,C6997_RS00025,WP_000081627.1,472,glutamate synthase subunit GltD
chromosome,NZ_CP027577.1,8071,8535,-,,,C6997_RS00035,WP_000979882.1,154,MULTISPECIES: YhcH/YjgK/YiaL family protein
chromosome,NZ_CP027577.1,8532,9407,-,,,C6997_RS00040,WP_000209021.1,291,MULTISPECIES: N-acetylmannosamine kinase
chromosome,NZ_CP027577.1,9404,10093,-,,,C6997_RS00045,WP_000054239.1,229,MULTISPECIES: N-acetylmannosamine-6-phosphate 2-epimerase
chromosome,NZ_CP027577.1,10141,11631,-,,nanT,C6997_RS00050,WP_000108459.1,496,MULTISPECIES: sialic acid transporter NanT
chromosome,NZ_CP027577.1,11741,12634,-,,nanA,C6997_RS00055,WP_000224714.1,297,MULTISPECIES: N-acetylneuraminate lyase
chromosome,NZ_CP027577.1,12756,13547,-,,nanR,C6997_RS00060,WP_000523845.1,263,MULTISPECIES: transcriptional regulator NanR
chromosome,NZ_CP027577.1,13927,15294,+,,dcuC,C6997_RS00070,WP_000466998.1,455,anaerobic C4-dicarboxylate transporter DcuC
chromosome,NZ_CP027577.1,15337,15834,-,,sspB,C6997_RS00075,WP_000366129.1,165,MULTISPECIES: ClpXP protease specificity-enhancing factor
chromosome,NZ_CP027577.1,15840,16478,-,,sspA,C6997_RS00080,WP_000257293.1,212,MULTISPECIES: stringent starvation protein A
chromosome,NZ_CP027577.1,16873,17265,-,,rpsI,C6997_RS00100,WP_000829818.1,130,MULTISPECIES: 30S ribosomal protein S9
chromosome,NZ_CP027577.1,17281,17709,-,,rplM,C6997_RS00105,WP_000847559.1,142,MULTISPECIES: 50S ribosomal protein L13
chromosome,NZ_CP027577.1,17928,19055,-,,zapE,C6997_RS00110,WP_001192307.1,375,MULTISPECIES: cell division protein ZapE
chromosome,NZ_CP027577.1,19249,19647,+,,,C6997_RS00115,WP_001295270.1,132,MULTISPECIES: DUF1043 family protein
chromosome,NZ_CP027577.1,19801,21168,+,,degQ,C6997_RS00120,WP_001295271.1,455,MULTISPECIES: serine endoprotease DegQ
chromosome,NZ_CP027577.1,21258,22325,+,,degS,C6997_RS00125,WP_000497723.1,355,MULTISPECIES: outer membrane-stress sensor serine endopeptidase DegS
chromosome,NZ_CP027577.1,22388,23326,-,,mdh,C6997_RS00130,WP_001307415.1,312,MULTISPECIES: malate dehydrogenase
