#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP047378.1",113,1516,"+",,"dnaA","GTP13_RS00005","WP_000059106.1",467,"chromosomal replication initiator protein DnaA"
"chromosome","NZ_CP047378.1",1521,2621,"+",,"dnaN","GTP13_RS00010","WP_000673464.1",366,"MULTISPECIES: DNA polymerase III subunit beta"
"chromosome","NZ_CP047378.1",2621,3694,"+",,"recF","GTP13_RS00015","WP_000060112.1",357,"MULTISPECIES: DNA replication/repair protein RecF"
"chromosome","NZ_CP047378.1",3723,6137,"+",,"gyrB","GTP13_RS00020","WP_000072067.1",804,"MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome","NZ_CP047378.1",6368,6775,"+",,,"GTP13_RS00025","WP_001317389.1",135,"MULTISPECIES: YidB family protein"
"chromosome","NZ_CP047378.1",6890,7702,"+",,"yidA","GTP13_RS00030","WP_000985541.1",270,"MULTISPECIES: sugar-phosphatase"
"chromosome","NZ_CP047378.1",7748,8404,"-",,,"GTP13_RS00035","WP_000772931.1",218,"hypothetical protein"
"chromosome","NZ_CP047378.1",8682,9371,"+",,"dgoR","GTP13_RS00040","WP_000174305.1",229,"MULTISPECIES: D-galactonate utilization transcriptional regulator DgoR"
"chromosome","NZ_CP047378.1",9368,10246,"+",,"dgoK","GTP13_RS00045","WP_000127112.1",292,"MULTISPECIES: 2-dehydro-3-deoxygalactonokinase"
"chromosome","NZ_CP047378.1",10230,10847,"+",,"dgoA","GTP13_RS00050","WP_001198699.1",205,"MULTISPECIES: 2-dehydro-3-deoxy-6-phosphogalactonate aldolase"
"chromosome","NZ_CP047378.1",10844,11992,"+",,"dgoD","GTP13_RS00055","WP_000705001.1",382,"MULTISPECIES: galactonate dehydratase"
"chromosome","NZ_CP047378.1",12067,13404,"+",,,"GTP13_RS00060","WP_162008684.1",445,"MFS transporter"
"chromosome","NZ_CP047378.1",13401,14465,"-",,"cbrA","GTP13_RS00065","WP_001429383.1",354,"colicin M resistance protein"
"chromosome","NZ_CP047378.1",14530,15780,"+",,,"GTP13_RS00070","WP_000967862.1",416,"DUF3748 domain-containing protein"
"chromosome","NZ_CP047378.1",15782,16114,"-",,,"GTP13_RS00075","WP_000620888.1",110,"MULTISPECIES: YceK/YidQ family lipoprotein"
"chromosome","NZ_CP047378.1",16420,16833,"+",,"ibpA","GTP13_RS00080","WP_001243437.1",137,"MULTISPECIES: heat shock chaperone IbpA"
"chromosome","NZ_CP047378.1",16945,17373,"+",,"ibpB","GTP13_RS00085","WP_001243431.1",142,"MULTISPECIES: heat shock chaperone IbpB"
"chromosome","NZ_CP047378.1",17570,19231,"+",,,"GTP13_RS00090","WP_001279752.1",553,"MULTISPECIES: putative transporter"
"chromosome","NZ_CP047378.1",19228,19944,"-",,,"GTP13_RS00095","WP_001300779.1",238,"MULTISPECIES: GntR family transcriptional regulator"
"chromosome","NZ_CP047378.1",20240,21856,"+",,,"GTP13_RS00100","WP_000952127.1",538,"MULTISPECIES: PTS sugar transporter subunit IIB"
"chromosome","NZ_CP047378.1",22667,23560,"-",,,"GTP13_RS00110","WP_001013540.1",297,"MULTISPECIES: AraC family transcriptional regulator"
"chromosome","NZ_CP047378.1",25439,26932,"+",,,"GTP13_RS00120","WP_000828487.1",497,"sulfatase-like hydrolase/transferase"
"chromosome","NZ_CP047378.1",26979,27428,"-",,,"GTP13_RS00125","WP_000511287.1",149,"MULTISPECIES: membrane protein"
"chromosome","NZ_CP047378.1",27538,27885,"+",,,"GTP13_RS00130","WP_000703959.1",115,"MULTISPECIES: YidH family protein"
"chromosome","NZ_CP047378.1",27875,28237,"+",,,"GTP13_RS00135","WP_001113432.1",120,"MULTISPECIES: DUF202 domain-containing protein"
"chromosome","NZ_CP047378.1",28234,28731,"+",,,"GTP13_RS00140","WP_000148063.1",165,"MULTISPECIES: radical SAM protein"
"chromosome","NZ_CP047378.1",28739,29923,"-",,"emrD","GTP13_RS00145","WP_000828746.1",394,"MULTISPECIES: multidrug efflux MFS transporter EmrD"
"chromosome","NZ_CP047378.1",30342,30431,"-",,"tisB","GTP13_RS00150","WP_000060506.1",29,"MULTISPECIES: type I toxin-antitoxin system toxin TisB"
"chromosome","NZ_CP047378.1",30996,31094,"+",,"ivbL","GTP13_RS00155","WP_001315912.1",32,"MULTISPECIES: ilvB operon leader peptide IvbL"
"chromosome","NZ_CP047378.1",31200,32888,"+",,"ilvB","GTP13_RS00160","WP_000168497.1",562,"acetolactate synthase large subunit"
"chromosome","NZ_CP047378.1",32892,33182,"+",,"ilvN","GTP13_RS00165","WP_001181706.1",96,"MULTISPECIES: acetolactate synthase small subunit"
"chromosome","NZ_CP047378.1",33257,33847,"+",,"uhpA","GTP13_RS00170","WP_000633668.1",196,"MULTISPECIES: transcriptional regulator UhpA"
"chromosome","NZ_CP047378.1",33847,35349,"+",,"uhpB","GTP13_RS00175","WP_001295243.1",500,"MULTISPECIES: signal transduction histidine-protein kinase/phosphatase UhpB"
"chromosome","NZ_CP047378.1",35359,36678,"+",,"uhpC","GTP13_RS00180","WP_001341770.1",439,"MFS transporter family glucose-6-phosphate receptor UhpC"
"chromosome","NZ_CP047378.1",36934,38325,"+",,"uhpT","GTP13_RS00185","WP_000879194.1",463,"MULTISPECIES: hexose-6-phosphate:phosphate antiporter"
