#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP045827.1",1,1404,"+",,"dnaA","GIJ02_RS00005","WP_000059106.1",467,"chromosomal replication initiator protein DnaA"
"chromosome","NZ_CP045827.1",1409,2509,"+",,"dnaN","GIJ02_RS00010","WP_000673464.1",366,"MULTISPECIES: DNA polymerase III subunit beta"
"chromosome","NZ_CP045827.1",2509,3582,"+",,"recF","GIJ02_RS00015","WP_000060112.1",357,"MULTISPECIES: DNA replication/repair protein RecF"
"chromosome","NZ_CP045827.1",3611,6025,"+",,"gyrB","GIJ02_RS00020","WP_000072067.1",804,"MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome","NZ_CP045827.1",6256,6663,"+",,,"GIJ02_RS00025","WP_001317389.1",135,"MULTISPECIES: YidB family protein"
"chromosome","NZ_CP045827.1",6778,7590,"+",,,"GIJ02_RS00030","WP_000985541.1",270,"MULTISPECIES: sugar-phosphatase"
"chromosome","NZ_CP045827.1",7636,8292,"-",,,"GIJ02_RS00035","WP_153781477.1",218,"hypothetical protein"
"chromosome","NZ_CP045827.1",8570,9259,"+",,"dgoR","GIJ02_RS00040","WP_000174305.1",229,"MULTISPECIES: D-galactonate utilization transcriptional regulator DgoR"
"chromosome","NZ_CP045827.1",9256,10134,"+",,,"GIJ02_RS00045","WP_000127112.1",292,"MULTISPECIES: 2-dehydro-3-deoxygalactonokinase"
"chromosome","NZ_CP045827.1",10118,10735,"+",,,"GIJ02_RS00050","WP_001198699.1",205,"MULTISPECIES: 2-dehydro-3-deoxy-6-phosphogalactonate aldolase"
"chromosome","NZ_CP045827.1",10732,11880,"+",,"dgoD","GIJ02_RS00055","WP_000705001.1",382,"MULTISPECIES: galactonate dehydratase"
"chromosome","NZ_CP045827.1",13289,14353,"-",,"cbrA","GIJ02_RS00065","WP_001429383.1",354,"colicin M resistance protein"
"chromosome","NZ_CP045827.1",14421,15668,"+",,,"GIJ02_RS00070","WP_021351576.1",415,"DUF3748 domain-containing protein"
"chromosome","NZ_CP045827.1",15670,16002,"-",,,"GIJ02_RS00075","WP_000620888.1",110,"MULTISPECIES: YceK/YidQ family lipoprotein"
"chromosome","NZ_CP045827.1",16308,16721,"+",,"ibpA","GIJ02_RS00080","WP_001243437.1",137,"MULTISPECIES: heat shock chaperone IbpA"
"chromosome","NZ_CP045827.1",16833,17261,"+",,"ibpB","GIJ02_RS00085","WP_001243431.1",142,"MULTISPECIES: heat shock chaperone IbpB"
"chromosome","NZ_CP045827.1",17458,19119,"+",,,"GIJ02_RS00090","WP_001279752.1",553,"MULTISPECIES: putative transporter"
"chromosome","NZ_CP045827.1",19116,19832,"-",,,"GIJ02_RS00095","WP_001300779.1",238,"MULTISPECIES: GntR family transcriptional regulator"
"chromosome","NZ_CP045827.1",20128,21744,"+",,,"GIJ02_RS00100","WP_000952127.1",538,"MULTISPECIES: PTS sugar transporter subunit IIB"
"chromosome","NZ_CP045827.1",22555,23448,"-",,,"GIJ02_RS00110","WP_153781478.1",297,"AraC family transcriptional regulator"
"chromosome","NZ_CP045827.1",23615,25330,"+",,,"GIJ02_RS00115","WP_001087147.1",571,"MULTISPECIES: solute:sodium symporter family transporter"
"chromosome","NZ_CP045827.1",25327,26820,"+",,,"GIJ02_RS00120","WP_000828487.1",497,"sulfatase-like hydrolase/transferase"
"chromosome","NZ_CP045827.1",26867,27316,"-",,,"GIJ02_RS00125","WP_000511287.1",149,"MULTISPECIES: membrane protein"
"chromosome","NZ_CP045827.1",27426,27773,"+",,,"GIJ02_RS00130","WP_000703959.1",115,"MULTISPECIES: YidH family protein"
