#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP027387.1",171,830,"+",,"yccA","C6P73_RS00300","WP_000375138.1",219,"MULTISPECIES: FtsH protease modulator YccA"
"chromosome","NZ_CP027387.1",921,1250,"+",,"tusE","C6P73_RS00305","WP_000904442.1",109,"MULTISPECIES: sulfurtransferase TusE"
"chromosome","NZ_CP027387.1",1247,1525,"-",,,"C6P73_RS00310","WP_000048244.1",92,"MULTISPECIES: acylphosphatase"
"chromosome","NZ_CP027387.1",2869,3186,"+",,"hspQ","C6P73_RS00320","WP_001295356.1",105,"MULTISPECIES: heat shock protein HspQ"
"chromosome","NZ_CP027387.1",3231,3644,"-",,,"C6P73_RS00325","WP_000665217.1",137,"MULTISPECIES: CoA-binding protein"
"chromosome","NZ_CP027387.1",3817,4479,"+",,,"C6P73_RS00330","WP_000847791.1",220,"MULTISPECIES: DUF2057 family protein"
"chromosome","NZ_CP027387.1",4575,5033,"+",,"mgsA","C6P73_RS00335","WP_000424181.1",152,"MULTISPECIES: methylglyoxal synthase"
"chromosome","NZ_CP027387.1",5065,7119,"-",,"helD","C6P73_RS00340","WP_001297106.1",684,"MULTISPECIES: DNA helicase IV"
"chromosome","NZ_CP027387.1",7242,7688,"+",,,"C6P73_RS00345","WP_001261235.1",148,"MULTISPECIES: YccF domain-containing protein"
"chromosome","NZ_CP027387.1",7698,9860,"+",,"yccS","C6P73_RS00350","WP_000875023.1",720,"MULTISPECIES: TIGR01666 family membrane protein"
"chromosome","NZ_CP027387.1",9823,10452,"-",,"sxy","C6P73_RS00355","WP_000839153.1",209,"MULTISPECIES: CRP-S regulon transcriptional coactivator Sxy"
"chromosome","NZ_CP027387.1",10671,11180,"+",,"sulA","C6P73_RS00360","WP_000288710.1",169,"MULTISPECIES: cell division inhibitor SulA"
"chromosome","NZ_CP027387.1",11537,12577,"+",,"ompA","C6P73_RS00370","WP_000750416.1",346,"MULTISPECIES: porin OmpA"
"chromosome","NZ_CP027387.1",12652,13104,"-",,"matP","C6P73_RS00375","WP_000877167.1",150,"macrodomain Ter protein MatP"
"chromosome","NZ_CP027387.1",13290,15050,"+",,,"C6P73_RS00380","WP_000156528.1",586,"Lon protease family protein"
"chromosome","NZ_CP027387.1",15119,15637,"+",,"fabA","C6P73_RS00385","WP_000227927.1",172,"MULTISPECIES: bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase"
"chromosome","NZ_CP027387.1",15707,15874,"-",,,"C6P73_RS00390","WP_000828648.1",55,"MULTISPECIES: ribosome modulation factor"
