#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
chromosome,NZ_CP027442.1,870,2309,-,,aldA,MJ69_RS00010,WP_000115913.1,479,aldehyde dehydrogenase
chromosome,NZ_CP027442.1,2506,3306,-,,ydcF,MJ69_RS00015,WP_001027942.1,266,MULTISPECIES: YdcF family protein
chromosome,NZ_CP027442.1,3578,7480,-,,hrpA,MJ69_RS00020,WP_000139556.1,1300,ATP-dependent RNA helicase HrpA
chromosome,NZ_CP027442.1,7681,8286,+,,,MJ69_RS00025,WP_106907348.1,201,FMN-dependent NADH-azoreductase
chromosome,NZ_CP027442.1,8337,9653,-,,,MJ69_RS00030,WP_000627379.1,438,MULTISPECIES: phosphatase PAP2/dual specificity phosphatase family protein
chromosome,NZ_CP027442.1,9643,11400,-,,,MJ69_RS00035,WP_000431817.1,585,MULTISPECIES: bifunctional alpha/beta hydrolase/class I SAM-dependent methyltransferase
chromosome,NZ_CP027442.1,11416,12312,-,,,MJ69_RS00040,WP_000890909.1,298,MULTISPECIES: phosphatidate cytidylyltransferase
chromosome,NZ_CP027442.1,12312,12917,-,,,MJ69_RS00045,WP_000177525.1,201,MULTISPECIES: CDP-alcohol phosphatidyltransferase family protein
chromosome,NZ_CP027442.1,13088,15394,-,,,MJ69_RS00050,WP_000477179.1,768,MULTISPECIES: DUF2773 domain-containing bactofilin
chromosome,NZ_CP027442.1,15458,16318,-,,pdxI,MJ69_RS00055,WP_000097801.1,286,MULTISPECIES: pyridoxine 4-dehydrogenase
chromosome,NZ_CP027442.1,16549,17139,-,,paaY,MJ69_RS00060,WP_001123454.1,196,MULTISPECIES: phenylacetic acid degradation protein PaaY
chromosome,NZ_CP027442.1,17121,18071,-,,paaX,MJ69_RS00065,WP_000041176.1,316,MULTISPECIES: phenylacetic acid degradation operon negative regulatory protein PaaX
chromosome,NZ_CP027442.1,18172,19485,-,,paaF,MJ69_RS00070,WP_106907349.1,437,phenylacetate--CoA ligase
chromosome,NZ_CP027442.1,19512,20717,-,,pcaF,MJ69_RS00075,WP_001206179.1,401,3-oxoadipyl-CoA thiolase
chromosome,NZ_CP027442.1,20717,21139,-,,paaI,MJ69_RS00080,WP_000018413.1,140,MULTISPECIES: hydroxyphenylacetyl-CoA thioesterase PaaI
chromosome,NZ_CP027442.1,21129,22556,-,,paaC,MJ69_RS00085,WP_000973362.1,475,MULTISPECIES: 3-hydroxyacyl-CoA dehydrogenase PaaC
chromosome,NZ_CP027442.1,22558,23346,-,,paaB,MJ69_RS00090,WP_000969777.1,262,"MULTISPECIES: 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase"
chromosome,NZ_CP027442.1,23346,24113,-,,,MJ69_RS00095,WP_001292353.1,255,"MULTISPECIES: 2,3-dehydroadipyl-CoA hydratase"
chromosome,NZ_CP027442.1,24110,25180,-,,paaK,MJ69_RS00100,WP_000206377.1,356,phenylacetate-CoA oxygenase/reductase subunit PaaK
