#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP027352.1",1989,2207,"+",,,"AYN42_RS00015","WP_106875242.1",72,"holin"
"chromosome","NZ_CP027352.1",2456,2728,"-",,,"AYN42_RS00020","WP_000138558.1",90,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP027352.1",2888,3421,"+",,,"AYN42_RS00030","WP_001003118.1",177,"MULTISPECIES: lysozyme"
"chromosome","NZ_CP027352.1",3642,3755,"+",,,"AYN42_RS00035","WP_000675931.1",37,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP027352.1",3977,4162,"+",,,"AYN42_RS31075","WP_012816791.1",61,"MULTISPECIES: membrane protein"
"chromosome","NZ_CP027352.1",4689,5003,"+",,,"AYN42_RS00050","WP_001303878.1",104,"MULTISPECIES: PerC family transcriptional regulator"
"chromosome","NZ_CP027352.1",5085,5309,"-",,,"AYN42_RS00055","WP_001300236.1",74,"MULTISPECIES: DUF3950 domain-containing protein"
"chromosome","NZ_CP027352.1",5706,6251,"+",,,"AYN42_RS00060","WP_000453587.1",181,"MULTISPECIES: DNA-packaging protein"
"chromosome","NZ_CP027352.1",6226,8151,"+",,,"AYN42_RS00065","WP_001027379.1",641,"phage terminase large subunit family protein"
"chromosome","NZ_CP027352.1",8148,8354,"+",,,"AYN42_RS00070","WP_000198153.1",68,"MULTISPECIES: head-tail joining protein"
"chromosome","NZ_CP027352.1",8351,9952,"+",,,"AYN42_RS00075","WP_001415980.1",533,"phage portal protein"
"chromosome","NZ_CP027352.1",9933,11252,"+",,,"AYN42_RS00080","WP_000123251.1",439,"S49 family peptidase"
"chromosome","NZ_CP027352.1",11262,11594,"+",,,"AYN42_RS00085","WP_001365129.1",110,"head decoration protein"
"chromosome","NZ_CP027352.1",11650,12675,"+",,,"AYN42_RS00090","WP_000063258.1",341,"major capsid protein"
"chromosome","NZ_CP027352.1",12717,13112,"+",,,"AYN42_RS00095","WP_000158897.1",131,"MULTISPECIES: DNA-packaging protein FI"
